AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 12770(1),1,,,Ananthagopalan,"Lalaudi Padmavathi Ananthagopalan, Jayathi Krishnan, Trichur Narendran",Detroit Concert (1 of 2),,3/26/95,KKV
AWM SC 12770(2),1,,,Ananthagopalan,"Lalaudi Padmavathi Ananthagopalan, Jayathi Krishnan, Trichur Narendran",Detroit Concert (2 of 2),,3/26/95,KKV
AWM SC 12771,1,,,Arunachalam,Karukuruchi Arunachalan / K.V. Narayaraswami,Nadhaswaran / Palghat,y,,
AWM SC 12772,1,,,Babu ,Chittibabu ,Veena (From Kalyanamis Record),y,Apr-79,
AWM SC 12773,1,,,Babu ,Chittibabu - Veena (From: Sridhais),Musing of the Musician,,4/15/79,
AWM SC 12774,1,,,Babu ,Chitti Babu,Chitti Babu presents Musings of a Musician,y,,
AWM SC 12775,1,,,Babu ,Chittibabu,Veena,y,,HV
Missing,,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol I) ,y,,HV
Missing,,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol II),y,,HV
AWM SC 12776,1,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol III) ,y,,HV
AWM SC 12777,1,,,Balakrishnan,Mr. Balakrishnan,Religious Discourse,,"Venkat residence, 4/9/1995",
AWM SC 12778(1),1,,,Balamuralikrishna ,"M. Balamurali Krishna, M.S. Gopalakrishnan, T.V. Gopalkrishnan",(1 of 2),,Mar-91,KKV
AWM SC 12778(2),1,,,Balamuralikrishna ,"M. Balamurali Krishna, M.S. Gopalakrishnan, T.V. Gopalkrishnan",(2 of 2),,Mar-91,KKV
AWM SC 12779,1,,,Balamuralikrishna,Balamurali Krishna,Thyagaraja / Ramdas Kirtanas,y,,KKV
AWM SC 12780,1,,,Balamuralikrishna,Balamurali Krishna / V. Ramachandran & Yesudas,,y,,
AWM SC 12781(1),1,,,Balamuralikrishna,Balmurali Krishna,Detroit Concert (1 and 2),,,KKV
AWM SC 12781(2),1,,,Balamuralikrishna,"Balmurali Krishna, Vishnu Sahasranaman",Detroit Concert (2 and 2),,,KKV
AWM SC 12782,1,6 ECDB 517,,Balamuralikrishna ,Dr. M. Balamuralikrishna,Shanmukhapriya,y,,
AWM SC 12783,1,,,Balamuralikrishna ,"M. Balamurali, B.G.N.B.",Utsava Sampradaya Krithis of saint thiagaraja,,,
AWM SC 12784,1,,,Balamuralikrishna ,M. Balamuralikrishna,Krithis in Shawmukhapriya,y,,
AWM SC 12785,1,,,Balasubrananiam,G.N. Balasubrananiam,,,,
AWM SC 12786,1,,,Balasubrananiam,G.N. Balasubrananiam,(1 of 1),,,KKV
AWM SC 12787,1,,,Balasubrananiam,G.N. Balasubrananiam,Best of GNB,,,KKV
AWM SC 12788,1,,,Balasubrananiam,G.N. Balasubrananiam,Sangeetha kalanidhi,,,KKV
AWM SC 12789,1,,,Balasubrananiam,"GNB, Chowdiah, Murugabhoobathi, Kothandarama Iyer",Air,,,KKV
AWM SC 12790(1),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(1 of 3),,,
AWM SC 12790(2),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(2 of 3),,,
AWM SC 12790(3),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(3 of 3),,,
AWM SC 12791,1,,,Bharathi,"Rajkumar Bharathi, M.A. Sundaresan, T.V. Gopalakrishnan",Sangeetha cassette (1 of 1),y,Dec-93,KKV
AWM SC 12792(1),1,,,Bharathi,Rajkumar Bharathi ,(1 of 2),y,"Detroit, 10/22/1995",KKV
AWM SC 12792(2),1,,,Bharathi,Rajkumar Bharathi ,(2 of 2),y,"Detroit, 10/22/1995",KKV
AWM SC 12793,1,6 ECDB 526,,Bharathi,Rajkumar Bharathi,Parvathi Nayakane & Other Krithis,y,,
AWM SC 12794,1,,,Bharathi,Rajkumar Bharathi,from C.D. (1 of 1),y,,KKV
AWM SC 12795,1,,,Bharathi,Rajkumar Bharathi ,Carnatic classical,y,,KKV
AWM SC 12796,1,,,Bharathi,"Rajkumar Bharathi, Madruai Bala Subramanian, Prapancham Ravindran",Purandaradasa songs,y,,
AWM SC 12797,1,,,Bharathi,"Rajkumar Bharathi, Patnam Subramania Iyer Krithis, M.A. Sundareswaran, Thiryvarur Bhakta Vatsalam",Air concert (1 of 1),y,,
AWM SC 12798,1,,,Bharathi,"Rajkumar Bharati, Mandurai Balasubramanian, Prapancham Ravinoran",Bharatiyar songs,y,,KKV
AWM SC 12799(1),2,,,Bombay ,Bombay Sisters,Detroit Concert (1 of 2),y,"Detroit, 5/14/1989",KKV
AWM SC 12799(2),2,,,Bombay ,Bombay Sisters,Detroit Concert (2 of 2),y,"Detroit, 5/14/1989",KKV
AWM SC 12800,2,,,Bombay ,"Bombay Sisters, A.K. Usha, Trichur Narendran, N. Govindarajan, B.V.V.Ravi",,y,Apr-91,KKV
AWM SC 12801,2,,,Bomaby ,Bombay Sisters,Sangeetha Cassette (1 of 1),y,,KKV
AWM SC 12802,2,6ECD 6256,,Bombay ,Bombay Sisters,"Sree lalitha sahasranama, Stothram & Ashtothram",y,,
AWM SC 12803,2,,,Bombay ,Bombay Sisters,Lalitha Sahasranamam (Part I) / (Part II),y,,KKV
AWM SC 12804,2,,,Bombay ,Bombay Sisters,Original Diuuwwa,y,,
AWM SC 12805,2,,,Bombay ,Bombay Sisters,Papanasam sivan songs,y,,KKV
AWM SC 12806,2,6 CA 566,,Bombay ,Bombay Sisters,Oothukadu Venkata Subbier Songs (Vol. 2),y,,
AWM SC 12807,2,,,Bombay ,"Bombay Sisters, Meera Narayan, Trichur Narendran, N. Govindarajan",Live concert in Madras,y,,KKV
AWM SC 12808,2,,,Bombay ,Lalitha Sahasrawamam / Astothram - Bombay Sisters,,,,
AWM SC 12809(1),2,,Vc001A,Brahmanandam,"Srimathi Brahmanandam, C.P. Viswanath",(1 of 2),y,"Prabhakar's residence, 8/31/1991",KKV
AWM SC 12809(2),2,,Vc001B,Brahmanandam,"Srimathi Brahmanandam, C.P. Viswanath",(2 of 2),y,"Prabhakar's residence, 8/31/1991",KKV
AWM SC 12810,2,,,Bushani,Swara Bushani from Oriental Records CD - 2 Discs,,y,,KKV
AWM SC 12811(1),2,,,Chandrasekhar,M. Chandrasekhar,"Detroit Concert (Paris 1, 2)",,"Detroit, 7/21/1987",H.V.
AWM SC 12811(2),2,,,Chandrasekhar,M. Chandrasekhar,"Detroit Concert (Paris 3, 4)",,"Detroit, 7/21/1987",H.V.
AWM SC 12812,2,,,Chaurasia,Hari Prasad Chaurasia / V.G. JDG,Flute / Violin,y,,
AWM SC 12813,2,,,Ciopalan,Sesha Ciopalan,Tamil Isai concert,,1983,
AWM SC 12814,2,,,Damal Krishnaswamy,"Panciharatna Krithis, D.K. Jayaraman & Disciples, R.K. Shriramkumar, J. Vaidyanathan",,y,Mar-91,KKV
AWM SC 12815,2,,,Desikar,M.M. Dhandapani Desikar ,Nandanar Songs / Other songs,y,,KKV
AWM SC 12816,2,,,Desikar,M.S. Gopalakrishavan,,,,KKV
Missing,,,,Dikshithar,"Dikshithar, Dr. M. Bala Murali",Dikshithar's kamalamba navavarna krithis / Balamurali Krishna (Vol I),y,,HV
AWM SC 12817,2,,,Dikshithar,"Dikshithar, Dr. M. Bala Murali",Dikshithar's kamalamba navavarna krithis / Balamurali Krishna (Vol II),y,,HV
AWM SC 12818,2,,,Dosti ,Dosti,Detriot Style,,,
AWM SC 12819(1),2,,,Ganesh ,Dr. R. Ganesh ,Disciple of Maharatapuram Santhanam (1 of 2),y,Dec-93,KKV
AWM SC 12819(2),2,,,Ganesh ,Dr. R. Ganesh ,Disciple of Maharatapuram Santhanam (2 of 2),y,Dec-93,KKV
AWM SC 12820(1),2,,,Ganesh ,"Ganesh Kumaresh, K.V. Prasad",Detroit concert (1 of 2),,"Detroit, 2/26/1995",KKV
AWM SC 12820(2),2,,,Ganesh ,"Ganesh Kumaresh, K.V. Prasad",Detroit concert (1 of 2),,"Detroit, 2/26/1995",KKV
AWM SC 12821(1),2,,,Ganesh ,Ganesh Kumaresh,Michigan Tamil Sangam concert (1 of 2),y,"Michigan, 6/6/1998",
AWM SC 12821(2),2,,,Ganesh ,Ganesh Kumaresh,Michigan Tamil Sangam concert (2 of 2),y,"Michigan, 6/6/1998",
AWM SC 12822,2,,,Ganesh ,Ganesh / Kumaresh ,Ganesh / Kumaresh - Violin Duet - Prerecorded cassette (1 of 1),,,KKV
AWM SC 12823,2,,,Ganesh,"A. Ganesh / Kumaresh, K.V. Prasad, Waikkom Gopakrishnan, B.G.J.R., Krishnan, Ramesh, Govindarajan ",(1 of 1),y,,KKV
AWM SC 12824(1),2,,,Gangadharan,"Sriram Gangadharan, Kalpana Kishore, Neyveli Narayanan",,y,"LA, 3/28/1998",
AWM SC 12824(2),2,,,Gangadharan,Sriram Gangadharan,2/2,y,"LA, 3/28/1998",
AWM SC 12825,2,IBM 121,,Gangadharah,Bhakthi Gangadharah,Sanskrit Devotional Songs,y,,
AWM SC 12826,2,GCT 578 C-60,,Gangadharan,Sriram Gangadharan,Sriram Gangadharan - Classical vocal,y,,
AWM SC 12827(1),3,,,Gayathri,Baby Gayathri,Veena (1 of 2),,11/9/85,KKV
AWM SC 12827(2),3,,,Gayathri,Baby Gayathri,Veena (2 of 2),,11/9/85,KKV
AWM SC 12828(1),3,,KSG003A,Gopalakrishnan,"K.S. Gopalakrishnan, Karyakumari, G. Dorai",Navaratric Music Festival (1 of 2),,"Bharatiya Temple, 10/16/1993",KKV
AWM SC 12828(2),3,,KSG003A,Gopalakrishnan,"K.S. Gopalakrishnan, Karyakumari, G. Dorai",Navaratric Music Festival (2 of 2),,"Bharatiya Temple, 10/16/1993",KKV
AWM SC 12829,3,,,Gopalakrishnan,K.S. Gopalakrishnan,Selections from 1993 US Tour,y,1993,
AWM SC 12830(1),3,,KGSC001,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(1 of 3),,"Boston, 1993",KKV
AWM SC 12830(2),3,,KGSC001B,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(2 of 3),,"Boston, 1993",KKV
AWM SC 12830(3),3,,KGSC001C,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(3 of 3),,"Boston, 1993",KKV
