NAME,Date,Active?,URL,History Note,Address,Phone,Fax,Email,Other notes
7/8 Music Productions ,Mar-24,hardly a trace of them ,,"is a recording and concert production company  Mar 1996 by Kutay Derin Kugay. The areas of the world that are of utmost interest to the label are Central Asia, Caucasus, South Asia, South West Asia, Balkans, North and East Africa. Chingiz Sadykhov, Rahman Asadollahi, Behrooz Haydaroglu, John Chookasezian, Sarkis Petrosyan, Necati Celik, Ali Akbar Moradi, Pejman Hadadi and many others. . ,",,,,,
Accords Croisés ,Mar-24,yes,https://www.accords-croises.com/en/about-us,,,,,,
Ahí Namá ,Mar-24,site did not work ,,Ahí Namá is specialized in Cuban and Spanish American music.,,,,,
AIR MAIL MUSIC   ,Mar-24,bad link,,"AIR MAIL MUSIC, specializes in traditional music; its aim is to promote culture, while providing the pleasure of a ‘musical journey’.",,,,,CDs can be found on Amazon -- but I do not find a website for the company
Sello Alerce,Mar-24,dissolved in 2011,,"la Otra Música, was born in 1976 in Santiago de Chile to produce Chilean artists representing the Canto Nuevo, new Chilean song, characterized by a strong social content. The label has one of the best catalogs of Chilean music and also distributes Silvio Rodríguez in Chile. Some of the artists on the label are: Sol y Lluvia, Angel Parra, Fermín Muguruza, Cuncumen, Chamal, Mecánica Popular.","Jorge Washington 380, comuna de Ñuñoa, Santiago de Chile.",(562) 223 9216,(562) 204 2486.,selloealerce@selloalerce.cl,
Almasud Records. ,Mar-24,do not find them,https://www.scannerfm.com/tag/almasud-records/,Music from the island of Madeira.,,,,,
Alula Records ,Mar-24,nothing past 2008 on Discogs,,"contemporary world music label featuring some of the best Flamenco from Spain, African music, Celtic, Latin guitar, Gypsy music, Americana and world beat sounds. Gerardo Núñez, Jamshied Sharifi, Tim O'Brien, Mamadou Diabate, Hassan Hakmoun, Nass Marrakech, De Madera and others.","Alula Records, P.O. Box 62043, Durham, NC 27715-2043, USA.",+1-919- 416-9454,+1-919-286-1788. Catalogs and information: info@alula.com.,,
American Recording Productions ,Mar-24,now streaming ,https://arpmusic.com/about-us/,"A label with the intent to record and preserve Armenian and Middle Eastern classical and folk music. Ara Topouzian, Joe Zeytoonian.","American Recording Productions, 28230 Orchard Lake Road, Suite #109, Farmington Hills, MI 48334-3763, USA.",1+248- 851-9225.,+1(248) 851-8186,atopouzian@arpmusic.com.,
Amigo Musik AB ,Mar-24,"acquired in 2000 by Bonnier AB, which lasted until 2009",,is one of the largest independents Scandinavia. The label has been producing some of the finest Swedish folk and world music for the last decades.,"PO Box 6058, 102 31 Stockholm, Sweden.",+46-8-340195,+46-708-210515.,sales@amigo.se,
AMMP Records,Mar-24,,,"AEMMP Records is Columbia College Chicago’s award-winning student-run record label. Formed in 1982, AEMMP is the longest running student label in the world; celebrating its 40th anniversary.",,,,,
