NAME ,Date,Active?,URL,History Note ,Address ,Phone,Fax ,Email ,Other notes 
7/8 Music Productions ,Mar-24,hardly a trace of them ,,"is a recording and concert production company  Mar 1996 by Kutay Derin Kugay. The areas of the world that are of utmost interest to the label are Central Asia, Caucasus, South Asia, South West Asia, Balkans, North and East Africa. Chingiz Sadykhov, Rahman Asadollahi, Behrooz Haydaroglu, John Chookasezian, Sarkis Petrosyan, Necati Celik, Ali Akbar Moradi, Pejman Hadadi and many others. . , E-mail:  ","Address: 7/8 Music Productions, 1325 Vicente Street, San Francisco, CA 94116, USA",Phone: +1 (415) 242-4085,Fax: +1 (415) 564-8266. ,,
Accords Croisés ,Mar-24,yes,https://www.accords-croises.com/en/about-us,,"32 Rue Myrha 75018 Paris, France  ",01-47-53-62-31 ,,info(at)accords-croises.com,
Ahí Namá ,Mar-24,site did not work ,,Ahí Namá is specialized in Cuban and Spanish American music. ,"Address: P.O. Box 290, North Hollywood, CA 91603, USA. Phone: +1-323-466-2822, Fax: +1-323-466-0345. E-mail: music@ahinama.com. ",,,,
AIR MAIL MUSIC   ,Mar-24,bad link,,"AIR MAIL MUSIC, specializes in traditional music; its aim is to promote culture, while providing the pleasure of a ‘musical journey’.  ",,,,,CDs can be found on Amazon -- but I do not find a website for the company
Sello Alerce,Mar-24,dissolved in 2011,," la Otra Música, was born in 1976 in Santiago de Chile to produce Chilean artists representing the Canto Nuevo, new Chilean song, characterized by a strong social content. The label has one of the best catalogs of Chilean music and also distributes Silvio Rodríguez in Chile. Some of the artists on the label are: Sol y Lluvia, Angel Parra, Fermín Muguruza, Cuncumen, Chamal, Mecánica Popular. Address: Jorge Washington 380, comuna de Ñuñoa, Santiago de Chile. Phone: (562) 223 9216, Fax: (562) 204 2486. E-mail: selloealerce@selloalerce.cl",,,,,
Almasud Records. ,Mar-24,do not find them,https://www.scannerfm.com/tag/almasud-records/,Music from the island of Madeira. ,"Address: Apartado 677, 9008 Funchal, Madeira, Portugal. ","Phone: +351 936 989 964, ",Fax: + 351 91 227 791., E-mail: almasud@madinfo.pt ,
Alula Records ,Mar-24,nothing past 2008 on Discogs,," contemporary world music label featuring some of the best Flamenco from Spain, African music, Celtic, Latin guitar, Gypsy music, Americana and world beat sounds. Gerardo Núñez, Jamshied Sharifi, Tim O'Brien, Mamadou Diabate, Hassan Hakmoun, Nass Marrakech, De Madera and others. Address: Alula Records, P.O. Box 62043, Durham, NC 27715-2043, USA. Phone: +1-919- 416-9454, Fax: +1-919-286-1788. Catalogs and information: info@alula.com.  ",,,,,
American Recording Productions ,Mar-24,now streaming ,https://arpmusic.com/about-us/,"A label with the intent to record and preserve Armenian and Middle Eastern classical and folk music. Ara Topouzian, Joe Zeytoonian. Address: American Recording Productions, 28230 Orchard Lake Road, Suite #109, Farmington Hills, MI 48334-3763, USA. Phone: 1+248- 851-9225. Fax: +1(248) 851-8186, E-mail: atopouzian@arpmusic.com. ",,,,,
Amigo Musik AB ,Mar-24,"acquired in 2000 by Bonnier AB, which lasted until 2009",,"is one of the largest independents Scandinavia. The label has been producing some of the finest Swedish folk and world music for the last decades. Address: PO Box 6058, 102 31 Stockholm, Sweden. Phone: +46-8-340195, Fax: +46-708-210515. E-mail: sales@amigo.se ",,,,,
AMMP Records,Mar-24,,,"AEMMP Records is Columbia College Chicago’s award-winning student-run record label. Formed in 1982, AEMMP is the longest running student label in the world; celebrating its 40th anniversary.",,,,,
AMMP Records,Mar-24,AAK passed away in 2009 ,http://www.ammp.com/ali-akbar-khan-the-jewels-of-maihar,"Ali Akbar Khan's label. Address: 74 Broadmore Avenue, San Anselmo, CA 94960, USA. Phone: +1-415-456-5963. ",,,,,
and/OAR  ,Mar-24,,https://www.and-oar.org/faq.html,Founded in 2001 as a sub-label of Overheard and Rendered. and/OAR is a publisher and retailer specializing in environmental sound and various forms of avant-garde sound art.,dkl37@and-oar.org,,,,
Arbiter Records,Mar-24,do we have their 2019 world releases?,https://arbiterrecords.org/,"s a classical music label with a world music imprint called World Arbiter, which focuses on classical and traditional music from other cultures.  USA. ","Address: Arbiter Records, PO Box 541336, Linden Hill Station, NY 11354,",,,E-mail: arbiter@tiac.net ,
ARC Music   ,Mar-24,,https://www.arcmusic.co.uk/,"Established in 1976, ARC Music specializes in world and ethnic music from all corners of the globe.  ",,,,,"has a large catalog of world music available with over 410 recordings (over 50 releases each year), African, Arabian, Asian, Celtic, Spanish, Gypsy, Latin American ... Key artists include Egypt's ""ambassador of rhythm"" Hossam Ramzy, the UK'sNo.1 Jewish ensemble The Burning Bush and more. Their website has every album listed with Real Audio. Free 64 page catalog available at the site or address. Address: ARC Music Prod. Int. Ltd., P.O. Box 111, East Grinstead, West Sussex, RH19 4FZ, UK. Phone: +44 (0)1342 328567, Fax: +44 (0)1342 315958. E-mail: info@arcmusic.co.uk"
